Order ID,_date,Status,rto,is_cancelled,Category,_sku_prefix,ship-state,ship-city,_pincode_prefix,Amount,_amount_log,_amount_bucket,_has_promotion,_is_b2b,Fulfilment,Qty
403-4367956-2849158,2022-04-30,Shipped,0,0,kurta,JNE,DELHI,NEW DELHI,110,368.0,5.910796644040527,q1,1,0,Amazon,1
403-4242957-8599555,2022-04-30,Shipped,0,0,kurta,JNE,KERALA,THIRUVANANTHAPURAM,695,399.0,5.991464547107982,q1,0,0,Amazon,1
408-7165704-5643524,2022-04-30,Shipped,0,0,Ethnic Dress,J,UTTAR PRADESH,GREATER NOIDA,201,699.0,6.551080335043404,q4,1,0,Amazon,1
402-8210765-3935569,2022-04-30,Shipped,0,0,Western Dress,J,MADHYA PRADESH,JABALPUR,482,885.0,6.786716950605081,q5,1,0,Amazon,1
406-7398201-3869914,2022-04-30,Shipped - Delivered to Buyer,0,0,kurta,JNE,MAHARASHTRA,MUMBAI,400,424.0,6.052089168924417,q2,1,0,Merchant,1
408-3478480-0881162,2022-04-30,Shipped,0,0,Set,SET,UTTAR PRADESH,LUCKNOW,226,1126.0,7.027314514039777,q5,1,0,Amazon,1
402-7595162-9129931,2022-04-30,Shipped,0,0,Set,SET,MAHARASHTRA,MUMBAI,400,788.0,6.670766320845874,q4,0,0,Amazon,1
171-6876154-6233146,2022-04-30,Shipped,0,0,Set,SET,WEST BENGAL,KOLKATA,700,759.0,6.633318433280377,q4,1,0,Amazon,1
408-3917043-5314763,2022-04-30,Shipped,0,0,Set,J,ANDHRA PRADESH,ONGOLE,523,1146.0,7.044905117129371,q5,0,0,Amazon,1
408-9281152-6213100,2022-04-30,Shipped,0,0,Top,JNE,TELANGANA,SECUNDERABAD,500,665.0,6.501289670540389,q3,1,0,Amazon,1
403-3496411-3082707,2022-04-30,Shipped,0,0,kurta,JNE,TELANGANA,HYDERABAD,500,429.0,6.063785208687608,q2,1,0,Amazon,1
171-9208368-0157156,2022-04-30,Shipped - Delivered to Buyer,0,0,kurta,JNE,UTTAR PRADESH,KEWALPUR,271,399.0,5.991464547107982,q1,1,0,Merchant,1
408-2137113-0982751,2022-04-30,Shipped,0,0,Set,J,ODISHA,CUTTACK,753,848.0,6.744059186311348,q5,1,0,Amazon,1
402-3628566-9688333,2022-04-30,Shipped,0,0,Set,J,MAHARASHTRA,BADLAPUR,421,654.0,6.484635235635252,q3,1,0,Amazon,1
408-7138000-9728362,2022-04-30,Shipped,0,0,Set,SET,NAGALAND,dimapur,797,1033.0,6.9411900550683745,q5,1,0,Amazon,1
402-1752649-2274748,2022-04-30,Shipped,0,0,kurta,JNE,KARNATAKA,BENGALURU,560,390.0,5.968707559985366,q1,0,0,Amazon,1
402-7944191-1869101,2022-04-30,Shipped,0,0,Top,J,KARNATAKA,BENGALURU,560,493.0,6.202535517187923,q2,1,0,Amazon,1
407-4063876-9566742,2022-04-30,Shipped,0,0,Western Dress,JNE,TELANGANA,WARANGAL,506,721.0,6.582025138892826,q4,1,0,Amazon,1
403-0752752-4656334,2022-04-30,Shipped,0,0,Set,SET,RAJASTHAN,DHAULPUR,328,597.0,6.393590753950631,q3,1,0,Amazon,1
406-8879861-2081117,2022-04-30,Shipped,0,0,kurta,JNE,ASSAM,GUWAHATI,781,399.0,5.991464547107982,q1,0,0,Amazon,1
406-8089333-7941903,2022-04-30,Shipped,0,0,Set,SET,KARNATAKA,Bengaluru,560,888.0,6.790097235513905,q5,1,0,Amazon,1
171-3072652-6805159,2022-04-30,Shipped,0,0,kurta,JNE,TELANGANA,HYDERABAD,500,353.0,5.869296913133774,q1,1,0,Amazon,1
171-2592464-6846743,2022-04-30,Shipped - Delivered to Buyer,0,0,Set,NW,KARNATAKA,BENGALURU,560,599.0,6.396929655216146,q3,1,0,Merchant,1
404-2262140-4696366,2022-04-30,Shipped,0,0,kurta,JNE,MAHARASHTRA,NAGPUR,440,518.0,6.251903883165888,q2,1,0,Amazon,1
404-2262140-4696366,2022-04-30,Shipped,0,0,kurta,JNE,MAHARASHTRA,NAGPUR,440,295.0,5.69035945432406,q1,1,0,Amazon,1
405-3594372-1614709,2022-04-30,Shipped,0,0,Set,SET,UTTAR PRADESH,GREATER NOIDA,201,852.0,6.748759547491679,q5,1,0,Amazon,1
407-2974257-4781134,2022-04-30,Shipped,0,0,Set,SET,MAHARASHTRA,THANE,400,824.0,6.715383386334681,q4,0,0,Amazon,1
171-4137548-0481151,2022-04-30,Cancelled,0,1,kurta,JNE,Gujarat,Dahod,389,,0.0,,0,0,Amazon,0
405-4461562-9113959,2022-04-30,Shipped,0,0,Set,SET,JHARKHAND,RANCHI,834,909.0,6.813444599510896,q5,1,0,Amazon,1
404-4535078-5241919,2022-04-30,Shipped,0,0,Top,JNE,MAHARASHTRA,PUNE,411,432.0,6.07073772800249,q2,1,0,Amazon,1
405-8387725-2971512,2022-04-30,Shipped,0,0,Set,SET,KARNATAKA,BENGALURU,560,545.0,6.302618975744905,q3,1,0,Amazon,1
405-6480932-8759528,2022-04-30,Shipped,0,0,Set,J,KARNATAKA,VIJAPURA,586,1146.0,7.044905117129371,q5,1,0,Amazon,1
405-9966506-3155561,2022-04-30,Shipped - Delivered to Buyer,0,0,kurta,JNE,TAMIL NADU,CHENNAI,600,696.0,6.546785410760524,q4,1,0,Merchant,1
408-7029737-8028367,2022-04-30,Shipped,0,0,kurta,JNE,MAHARASHTRA,MUMBAI,400,432.0,6.07073772800249,q2,0,0,Amazon,1
407-2189901-7515567,2022-04-30,Shipped - Delivered to Buyer,0,0,Set,SET,KARNATAKA,bangalore,560,631.0,6.448889394146858,q3,1,0,Merchant,1
